date,price_dxy
01-03-2014,79.87238095
01-04-2014,79.85
01-05-2014,79.96227273
01-06-2014,80.44
01-07-2014,80.53521739
01-08-2014,81.85666667
01-09-2014,84.36454545
01-10-2014,85.68
01-11-2014,87.7225
01-12-2014,89.19130435
01-01-2015,92.815
01-02-2015,94.4535
01-03-2015,97.89727273
01-04-2015,97.52045455
01-05-2015,95.23809524
01-06-2015,95.16863636
01-07-2015,96.92521739
01-08-2015,96.38761905
01-09-2015,95.81454545
01-10-2015,95.71863636
01-11-2015,99.07
01-12-2015,98.31304348
01-01-2016,98.99619048
01-02-2016,97.04095238
01-03-2016,96.25956522
01-04-2016,94.40333333
01-05-2016,94.56772727
01-06-2016,94.66318182
01-07-2016,96.52857143
01-08-2016,95.38
01-09-2016,95.47909091
01-10-2016,97.71428571
01-11-2016,99.76772727
01-12-2016,102.0413636
01-01-2017,101.2022727
01-02-2017,100.6955
01-03-2017,100.76
01-04-2017,100.073
01-05-2017,98.23913043
01-06-2017,96.94318182
01-07-2017,94.91571429
01-08-2017,93.17521739
01-09-2017,92.34
01-10-2017,93.70818182
01-11-2017,93.96181818
01-12-2017,93.33181818
01-01-2018,90.82086957
01-02-2018,89.6945
01-03-2018,89.87681818
01-04-2018,90.29333333
01-05-2018,93.33652174
01-06-2018,94.37190476
01-07-2018,94.60863636
01-08-2018,95.48086957
01-09-2018,94.7565
01-10-2018,95.85130435
01-11-2018,96.76090909
01-12-2018,96.86761905
01-01-2019,95.96652174
01-02-2019,96.4765
01-03-2019,96.78
01-04-2019,97.365
01-05-2019,97.73391304
01-06-2019,96.798
01-07-2019,97.34086957
01-08-2019,98.00318182
01-09-2019,98.60952381
01-10-2019,98.17086957
01-11-2019,98.07714286
01-12-2019,97.37772727
01-01-2020,97.4
01-02-2020,98.8635
01-03-2020,98.84272727
01-04-2020,99.89045455
01-05-2020,99.58095238
01-06-2020,97.08409091
01-07-2020,95.58304348
01-08-2020,93.04666667
01-09-2020,93.41045455
01-10-2020,93.39909091
01-11-2020,92.5952381
01-12-2020,90.50608696
01-01-2021,90.23714286
01-02-2021,90.641
01-03-2021,91.99434783
01-04-2021,91.65272727
01-05-2021,90.30142857
01-06-2021,91.04409091
01-07-2021,92.51272727
01-08-2021,92.79954545
01-09-2021,92.95272727
01-10-2021,93.9452381
01-11-2021,95.34136364
01-12-2021,96.20818182
01-01-2022,95.92238095
01-02-2022,96.001
01-03-2022,98.47347826
01-04-2022,100.6904762
01-05-2022,103.0990909
01-06-2022,103.8818182
01-07-2022,106.9452381
01-08-2022,107.1486957
01-09-2022,110.7013636
01-10-2022,111.9447619
01-11-2022,108.035
01-12-2022,104.5019048
01-01-2023,102.6909524
01-02-2023,103.6695
01-03-2023,103.7669565
01-04-2023,101.78
01-05-2023,102.7704348
01-06-2023,103.0790909
01-07-2023,101.4028571
01-08-2023,103.1030435
01-09-2023,105.277619
01-10-2023,106.3540909
01-11-2023,104.49
01-12-2023,102.6885
01-01-2024,102.9481818
01-02-2024,104.1185714
01-03-2024,103.6709524
01-04-2024,105.4113636
01-05-2024,104.9473913
01-06-2024,105.1705
01-07-2024,104.6330435
01-08-2024,102.2127273
01-09-2024,101.0452381
01-10-2024,103.3121739
01-11-2024,105.8604762
01-12-2024,107.1895238
01-01-2025,108.6427273
01-02-2025,107.3225
01-03-2025,104.1266667
01-04-2025,100.7366667
01-05-2025,100.0927273
01-06-2025,98.38809524
01-07-2025,97.95130435
01-08-2025,98.26047619
01-09-2025,97.69
01-10-2025,98.76521739
01-11-2025,99.738
01-12-2025,98.63
