date,forex_reserves_usd
01-12-2014,303454874927.00
01-01-2015,310606516330.00
01-02-2015,319300488547.00
01-03-2015,323824829169.00
01-04-2015,333725503695.00
01-05-2015,334317692139.00
01-06-2015,338106666367.00
01-07-2015,336336736699.00
01-08-2015,334620809169.00
01-09-2015,333344798655.00
01-10-2015,336654246137.00
01-11-2015,333851954005.00
01-12-2015,334310993025.00
01-01-2016,333077592174.00
01-02-2016,330199405324.00
01-03-2016,341189270080.00
01-04-2016,344140716169.00
01-05-2016,342399070531.00
01-06-2016,344029547095.00
01-07-2016,346011764350.00
01-08-2016,346250456122.00
01-09-2016,351667292320.00
01-10-2016,346822998356.00
01-11-2016,341975717394.00
01-12-2016,341145194692.00
01-01-2017,344544924772.00
01-02-2017,345181175900.00
01-03-2017,350923607640.00
01-04-2017,353698265301.00
01-05-2017,360819689698.00
01-06-2017,366986761984.00
01-07-2017,374514735003.00
01-08-2017,377934660329.00
01-09-2017,379771135768.00
01-10-2017,379329743480.00
01-11-2017,382005683329.00
01-12-2017,389350147912.00
01-01-2018,401550065968.00
01-02-2018,400132903901.00
01-03-2018,403750660782.00
01-04-2018,399532823214.00
01-05-2018,391849998358.00
01-06-2018,385400077511.00
01-07-2018,383776895972.00
01-08-2018,380573739903.00
01-09-2018,380813069454.00
01-10-2018,371888806088.00
01-11-2018,373187968981.00
01-12-2018,374425187184.00
01-01-2019,378006428711.00
01-02-2019,379583834240.00
01-03-2019,390267677763.00
01-04-2019,396238176684.00
01-05-2019,399309608326.00
01-06-2019,405936770213.00
01-07-2019,403714736546.00
01-08-2019,401408385720.00
01-09-2019,407452453119.00
01-10-2019,418505121882.00
01-11-2019,424853307690.00
01-12-2019,432378384524.00
01-01-2020,442647713931.00
01-02-2020,451702905468.00
01-03-2020,447527444120.00
01-04-2020,449107995966.00
01-05-2020,460963536941.00
01-06-2020,472094307418.00
01-07-2020,497249262551.00
01-08-2020,505303565479.00
01-09-2020,508526945423.00
01-10-2020,523969558523.00
01-11-2020,539921508599.00
01-12-2020,549086868075.00
01-01-2021,554103798782.00
01-02-2021,549399409663.00
01-03-2021,543284105579.00
01-04-2021,552737345147.00
01-05-2021,560787725898.00
01-06-2021,575510579221.00
01-07-2021,582672086473.00
01-08-2021,603136242827.00
01-09-2021,598057121007.00
01-10-2021,602272925341.00
